customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,72.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,118.75,7065.36557459982,No
5575-GNVDE,Male,0,No,No,72.0,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,118.75,8684.8,No
3668-QPYBK,Male,0,No,No,72.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,118.75,7143.66557459982,Yes
7795-CFOCW,Male,0,No,No,72.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),118.75,8684.8,No
9237-HQITU,Female,0,No,No,72.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,118.75,7187.16557459982,Yes
9305-CDSKC,Female,0,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,7856.01557459982,Yes
1452-KIOVK,Male,0,No,Yes,72.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),118.75,8684.8,No
6713-OKOMC,Female,0,No,No,72.0,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,118.75,7337.41557459982,No
7892-POOKP,Female,0,Yes,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,8684.8,Yes
6388-TABGU,Male,0,No,Yes,72.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),118.75,8684.8,No
9763-GRSKD,Male,0,Yes,Yes,72.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,118.75,7622.96557459982,No
7469-LKBCI,Male,0,No,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),118.75,7362.31557459982,No
8091-TTVAX,Male,0,Yes,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),118.75,8684.8,No
0280-XJGEX,Male,0,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,8684.8,Yes
5129-JLPIS,Male,0,No,No,72.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,8684.8,No
3655-SNQYZ,Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),118.75,8684.8,No
8191-XWSZG,Female,0,No,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,118.75,8058.46557459982,No
9959-WOFKT,Male,0,No,Yes,72.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),118.75,8684.8,No
4190-MFLUW,Female,0,Yes,Yes,72.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),118.75,7563.86557459982,Yes
4183-MYFRB,Female,0,No,No,72.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,118.75,8684.8,No
8779-QRDMV,Male,1,No,No,72.0,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,118.75,7075.16557459982,Yes
1680-VDCWW,Male,0,Yes,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),118.75,7237.76557459982,No
1066-JKSGK,Male,0,No,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,118.75,7055.66557459982,Yes
3638-WEABW,Female,0,Yes,No,72.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),118.75,8684.8,No
6322-HRPFA,Male,0,Yes,Yes,72.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),118.75,8684.8,No
6865-JZNKO,Female,0,No,No,72.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),118.75,8566.11557459982,No
6467-CHFZW,Male,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,8684.8,Yes
8665-UTDHZ,Male,0,Yes,Yes,72.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,118.75,7065.71557459982,Yes
5248-YGIJN,Male,0,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),118.75,8684.8,No
8773-HHUOZ,Female,0,No,Yes,72.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,118.75,8128.61557459982,Yes
3841-NFECX,Female,1,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),118.75,8684.8,No
4929-XIHVW,Male,1,Yes,No,72.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.75,7217.16557459982,No
6827-IEAUQ,Female,0,Yes,Yes,72.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,118.75,8684.8,No
7310-EGVHZ,Male,0,No,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),118.75,7055.71557459982,No
3413-BMNZE,Male,1,No,No,72.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),118.75,7080.76557459982,No
6234-RAAPL,Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),118.75,8684.8,No
6047-YHPVI,Male,0,No,No,72.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,118.75,7352.41557459982,Yes
6572-ADKRS,Female,0,No,No,72.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),118.75,8684.8,No
5380-WJKOV,Male,0,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,8684.8,Yes
8168-UQWWF,Female,0,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,8140.91557459982,Yes
8865-TNMNX,Male,0,Yes,Yes,72.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,118.75,7511.21557459982,No
9489-DEDVP,Female,0,Yes,Yes,72.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),118.75,8684.8,No
