customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9885-AIBVB,Male,1,Yes,No,14,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No,One year,Yes,Bank transfer (automatic),50.15,666,Yes
8327-LZKAS,Male,0,No,No,58,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,84.3,581.85,No
4257-GAESD,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,45.9,25,Yes
7649-PHJVR,Male,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,19.9,No
7326-RIGQZ,Male,0,No,No,30,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,64.15,2603.1,Yes
5090-EMGTC,Male,0,Yes,No,57,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,30.5,1652.4,Yes
5906-DVAPM,Female,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),84.1,2419.55,No
2692-BUCFV,Male,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.05,3094.05,No
8205-OTCHB,Male,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),80.4,6375.8,Yes
6331-LWDTQ,Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.5,581.85,No
0661-XEYAN,Male,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.9,1372.45,No
6386-SZZKH,Male,0,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,2689.35,No
9443-JUBUO,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,95.9,2647.1,No
0402-CQAJN,Male,0,No,No,59,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,105.3,5589.45,Yes
7576-ASEJU,Male,0,Yes,No,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),106.35,6721.6,No
5915-DGNVC,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),60.35,255.5,No
3594-BDSOA,Female,0,No,No,5,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,99.8,7470.1,Yes
2398-YPMUR,Male,0,No,No,28,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,44.85,1101.85,Yes
8058-DMYRU,Male,1,No,No,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),95.5,2191.7,No
3207-OYBWH,Male,0,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.0,19.9,No
9603-OAIHC,Female,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.4,1067.05,No
9209-NWPGU,Male,1,No,Yes,44,No,Yes,DSL,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Credit card (automatic),80.15,1442.2,No
3143-JQEGI,Male,0,Yes,No,51,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.7,2208.05,No
3279-DYZQM,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,80.85,45.35,Yes
7080-TNUWP,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,74.9,3527,No
7639-LIAYI,Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.5,80.55,No
6877-TJMBR,Male,1,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.15,75.45,No
